analysis_id,c06m563z2r1deil
parameter_id,IMPC_CSD_011_001
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.738034
gene_symbol,Tiprl
parameter_name,Coat - hair distribution - back
