gene_symbol,Snap23
pvalue,0.9420257
mouse_strain,C57BL
gene_accession_id,MGI:109356
analysis_id,m03jg6m48le82p7
parameter_name,Percent time in dark
mouse_life_stage,Late adult
parameter_id,JAX_LDT_008_001
