parameter_name,HR
analysis_id,3ssk360s569pd4m
pvalue,0.410216
gene_accession_id,MGI:87968
gene_symbol,Ahcy
mouse_life_stage,E9.5
parameter_id,JAXLA_ECG_002_001
mouse_strain,C57BL
