parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
analysis_id,sd4yq3p619i4v8u
gene_accession_id,MGI:1328306
pvalue,0.8833354
gene_symbol,Orc2
mouse_life_stage,E9.5
mouse_strain,C57BL
