analysis_id,197s4z255398w29
gene_symbol,Slc39a10
parameter_name,Total NK cells - % of CD45+
gene_accession_id,MGI:1914515
pvalue,0.3226106
parameter_id,MGP_IMM_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
