analysis_id,66e92s365801po7
parameter_name,Center resting time
gene_symbol,Ufc1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
parameter_id,JAX_OFD_015_001
pvalue,0.3821973
