parameter_name,12kHz-evoked ABR Threshold
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
pvalue,0.1711722
analysis_id,w135trpz2b1x2aq
parameter_id,IMPC_ABR_006_001
gene_symbol,Mapkap1
mouse_strain,C57BL
