parameter_name,Vibrissae - presence
gene_accession_id,MGI:105072
pvalue,0.8112102
analysis_id,62pv5sj0wfz45jn
parameter_id,JAXLA_CSD_023_001
mouse_strain,C57BL
gene_symbol,Rab22a
mouse_life_stage,Early adult
