gene_symbol,Lrrc69
mouse_life_stage,Early adult
gene_accession_id,MGI:1920564
mouse_strain,C57BL
analysis_id,82i2yq2lo8t1k36
parameter_name,DN CD44+CD62L- NKT cells
pvalue,0.9917628
parameter_id,IMPC_IMM_046_001
