parameter_id,IMPC_OWT_004_001
parameter_name,Right kidney weight
analysis_id,493e97b6z9l55g7
pvalue,0.1059634
gene_accession_id,MGI:2685277
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_symbol,Zyg11b
