parameter_id,MGP_CSD_067_001
analysis_id,24gw8o83wv4fb09
gene_accession_id,MGI:1339969
mouse_strain,C57BL
gene_symbol,Gja10
mouse_life_stage,Early adult
pvalue,0.3785104
parameter_name,Snout size
