parameter_name,Corneal opacity
gene_accession_id,MGI:1925049
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2497359
parameter_id,IMPC_EYE_008_001
analysis_id,ge194s85aw66k61
gene_symbol,Sla2
