gene_symbol,Dmap1
parameter_name,Hindlimbs - size
pvalue,0.8902351
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
analysis_id,82lmw45g5e7w37f
parameter_id,JAXLA_CSD_022_001
mouse_strain,C57BL
