analysis_id,9kt7q0n458286ey
gene_accession_id,MGI:2385884
pvalue,0.8777052
gene_symbol,Ddx27
parameter_name,Periphery average speed
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_013_001
mouse_strain,C57BL
