analysis_id,mx3zq8w23n257ny
pvalue,0.7075682
mouse_strain,C57BL
parameter_id,IMPC_GEO_009_002
mouse_life_stage,Early adult
gene_symbol,Npbwr1
parameter_name,Hemorrhage
gene_accession_id,MGI:891989
