analysis_id,3s49286r3nga93t
pvalue,0.2062272
mouse_strain,C57BL
parameter_id,MGP_MLN_032_001
mouse_life_stage,Early adult
parameter_name,Effector NK cells - % of NK cells
gene_accession_id,MGI:1914556
gene_symbol,Zc2hc1a
