gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
mouse_strain,C57BL
pvalue,0.4380413
parameter_name,Skull shape
analysis_id,0387q6i06ls46f6
parameter_id,CCP_XRY_001_001
mouse_life_stage,Early adult
