parameter_name,Periphery permanence time
mouse_strain,C57BL
parameter_id,JAX_OFD_012_001
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
analysis_id,u64435122hxo965
gene_accession_id,MGI:2441730
pvalue,0.3733583
