parameter_name,Eosinophil percentage
gene_accession_id,MGI:1336200
parameter_id,MGP_PBI_020_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Hpca
pvalue,0.6073582
analysis_id,20463e082e3ow2o
