analysis_id,74711730n0279uj
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.8026721
mouse_life_stage,Early adult
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
parameter_id,MGP_IMM_026_001
