gene_symbol,Msantd3
pvalue,0.4377822
mouse_strain,C57BL
analysis_id,254f5v88o904h61
mouse_life_stage,Early adult
gene_accession_id,MGI:1913915
parameter_name,Bone Area
parameter_id,IMPC_DXA_010_001
