analysis_id,6ls8b6n87dbby55
mouse_life_stage,Early adult
pvalue,0.1711451
mouse_strain,C57BL
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
parameter_id,JAXLA_DXA_003_001
parameter_name,Lean mass
