parameter_name,Total cholesterol
analysis_id,244q0876825872r
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HMGULA_CBC_015_001
pvalue,0.2444678
gene_symbol,Dhdds
gene_accession_id,MGI:1914672
