analysis_id,4hl1x9l6xfn615j
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6676848
parameter_name,Prepulse inhibition - PP4
parameter_id,ESLIM_011_001_704
gene_accession_id,MGI:1339969
gene_symbol,Gja10
