analysis_id,540bcx2jl02l75c
parameter_name,Narrow eye opening
gene_accession_id,MGI:99915
mouse_strain,C57BL
parameter_id,IMPC_EYE_006_001
mouse_life_stage,Early adult
gene_symbol,Lamb3
pvalue,0.7326778
