analysis_id,y2yc6m992gy0n08
parameter_name,Lean mass
gene_symbol,Wars2
parameter_id,JAXLA_DXA_003_001
pvalue,0.9974738
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
