gene_symbol,Duoxa2
mouse_strain,C57BL
analysis_id,0g3bn874hsa6e9x
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,Early adult
parameter_name,Triglycerides
pvalue,0.06234708
gene_accession_id,MGI:1914061
