gene_symbol,Ddx27
analysis_id,f0buo0zuq23douy
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_005
parameter_name,Bone Mineral Content
gene_accession_id,MGI:2385884
pvalue,0.08430384
