parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_name,Center permanence time
pvalue,0.7427975
mouse_life_stage,E9.5
analysis_id,95f6yw3jf39b2w3
mouse_strain,C57BL
