gene_symbol,Sgip1
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.7842141
parameter_id,TCPLA_GRS_011_001
analysis_id,3r5m6u603e4l5zk
mouse_strain,C56BL
