gene_symbol,Ift74
gene_accession_id,MGI:1914944
mouse_life_stage,Early adult
analysis_id,49gu1x7zp2feb78
parameter_name,Macrophages - % of CD45+
mouse_strain,C57BL
pvalue,0.3525193
parameter_id,MGP_IMM_121_001
