gene_symbol,Eprs1
parameter_id,ESLIM_016_001_005
mouse_strain,C57BL
analysis_id,876m1wa7698wk91
pvalue,0.6506483
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
parameter_name,Mean cell volume
