parameter_name,Total food intake
parameter_id,IMPC_CAL_008_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916220
gene_symbol,Dcaf12
analysis_id,pwx90dsnd7u6z66
pvalue,0.08336197
