parameter_id,IMPC_ECG_005_001
gene_symbol,Rap2b
pvalue,0.941732
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
parameter_name,PQ
analysis_id,p644lx8y8276z5a
mouse_strain,C57BL
