parameter_name,Fusion of vertebrae
mouse_strain,C57BL
parameter_id,M-G-P_006_001_026
pvalue,0.8197759
analysis_id,672q3g75aqe8f14
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
