mouse_life_stage,Early adult
analysis_id,v943w7h23286qv1
pvalue,0.5477279
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
mouse_strain,C57BL
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
