gene_symbol,Tnfsf10
parameter_id,IMPC_CSD_012_001
parameter_name,Coat - hair distribution - head
gene_accession_id,MGI:107414
mouse_strain,C57BL
analysis_id,6s23h846075e5xo
mouse_life_stage,Early adult
pvalue,0.7505245
