analysis_id,at8v9aj3a9vy412
mouse_strain,C57BL
parameter_id,M-G-P_014_001_001
gene_symbol,Trp53rkb
mouse_life_stage,Early adult
pvalue,0.2764342
gene_accession_id,MGI:1914050
parameter_name,Eye
