parameter_name,Others
gene_symbol,Casq1
mouse_strain,C57BL
pvalue,0.2957212
parameter_id,IMPC_IMM_006_001
analysis_id,67onit213pbe38n
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
