analysis_id,n8y6so62k59sg59
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_name,Aspartate aminotransferase
mouse_life_stage,E18.5
parameter_id,IMPC_CBC_012_001
pvalue,0.9069075
gene_symbol,Lpgat1
