analysis_id,41m60717q2s3zgc
gene_accession_id,MGI:1922855
pvalue,0.09254026
parameter_name,BMC/Body weight
parameter_id,JAXLA_DXA_007_001
gene_symbol,Kdm5b
mouse_life_stage,Early adult
mouse_strain,C57BL
