analysis_id,8t4dk9pza9s9nr2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
gene_symbol,Ahctf1
parameter_name,Limb grasping
gene_accession_id,MGI:1915033
pvalue,0.4903664
