analysis_id,51nqr266wc3sg5g
mouse_life_stage,E12.5
pvalue,0.9392731
mouse_strain,C57BL
parameter_id,IMPC_DXA_007_001
gene_accession_id,MGI:95835
gene_symbol,Hspa5
parameter_name,BMC/Body weight
