analysis_id,h4cska6v0ef335w
parameter_id,MGP_IMM_001_001
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
gene_symbol,Nanp
gene_accession_id,MGI:1914561
pvalue,0.1164796
mouse_life_stage,E18.5
