parameter_name,Time mobile dark side
gene_symbol,Dmap1
parameter_id,JAX_LDT_005_001
gene_accession_id,MGI:1913483
mouse_strain,C57BL
analysis_id,92hd18lo096xo94
pvalue,0.1580662
mouse_life_stage,E9.5
