analysis_id,7ga717y4zy6qb99
parameter_id,MGP_PBI_034_001
parameter_name,B cell number
gene_symbol,Lime1
mouse_strain,C57BL
pvalue,0.2120545
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
