analysis_id,670b3dy41240g01
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_094_001
pvalue,0.3862281
gene_symbol,Pum1
mouse_strain,C57BL
gene_accession_id,MGI:1931749
