parameter_name,Alkaline phosphatase
gene_accession_id,MGI:105072
gene_symbol,Rab22a
pvalue,0.4574597
analysis_id,0a14jc084oz0393
parameter_id,IMPC_CBC_014_001
mouse_strain,C57BL
mouse_life_stage,Early adult
