analysis_id,371oe89r493214j
mouse_strain,C57BL
parameter_id,IMPC_FEA_003_001
pvalue,0.6023316
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_name,Conditioning Baseline % Freezing Time
mouse_life_stage,E9.5
