parameter_name,Mean cell volume
gene_accession_id,MGI:1934811
parameter_id,ESLIM_016_001_005
analysis_id,819v89s4260g6em
pvalue,0.5932139
mouse_strain,C57BL
gene_symbol,Nucks1
mouse_life_stage,Late adult
