gene_symbol,Nanp
parameter_id,MGP_MLN_063_001
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,E18.5
analysis_id,1s1190v2p13m64x
mouse_strain,C57BL
gene_accession_id,MGI:1914561
pvalue,0.8411127
