parameter_name,Alanine aminotransferase
mouse_strain,C57BL
gene_symbol,Dcaf12
parameter_id,IMPC_CBC_013_001
pvalue,0.2894517
analysis_id,4sl7eq422ga0htj
mouse_life_stage,Early adult
gene_accession_id,MGI:1916220
