gene_symbol,Mov10
mouse_life_stage,Early adult
parameter_name,center - distance
mouse_strain,C57BL
parameter_id,M-G-P_007_001_010
analysis_id,81nwo7d06a1fyiv
pvalue,0.9570119
gene_accession_id,MGI:97054
