analysis_id,d21sjfndcrbj6ij
mouse_strain,C57BL
pvalue,0.3841678
parameter_id,ESLIM_014_001_008
mouse_life_stage,Early adult
parameter_name,Cornea vascularisation
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
