analysis_id,24b40it735s9r8c
pvalue,0.6199394
mouse_life_stage,Early adult
parameter_name,Total cholesterol
mouse_strain,129SV
gene_accession_id,MGI:1332236
parameter_id,IMPC_CBC_015_001
gene_symbol,Cds2
