mouse_life_stage,Early adult
parameter_id,IMPC_CSD_070_001
pvalue,0.5493117
parameter_name,Lower teeth appearance
analysis_id,g98hi7s07bpk86n
mouse_strain,C57BL
gene_accession_id,MGI:105072
gene_symbol,Rab22a
