parameter_id,IMPC_XRY_059_001
mouse_life_stage,E18.5
analysis_id,j64097a0wdq5n80
parameter_name,Shape of ribcage
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_strain,C57BL
pvalue,0.1251386
