gene_symbol,Arpc2
parameter_name,Percent time in dark
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
analysis_id,oh4961k78j259ag
parameter_id,JAX_LDT_008_001
pvalue,0.3451878
