parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
parameter_id,ICS_FEA_019_001
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
gene_symbol,Ola1
pvalue,0.4103226
analysis_id,rqwakx1230360yh
