parameter_id,JAX_URI_002_001
gene_accession_id,MGI:1923029
analysis_id,16or09262dprlm5
mouse_strain,C57BL
gene_symbol,Dnaaf9
parameter_name,Creatinine
pvalue,0.1558573
mouse_life_stage,Early adult
