gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_name,Creatinine
mouse_strain,C57BL
pvalue,0.8316719
mouse_life_stage,Middle aged adult
parameter_id,JAX_URI_002_001
analysis_id,151770203304w7m
