parameter_name,Heart weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
mouse_strain,C57BL
gene_symbol,Zmynd8
pvalue,0.9439937
analysis_id,zrh7fp3z10czo76
parameter_id,IMPC_HWT_008_001
