parameter_name,18kHz-evoked ABR Threshold
pvalue,0.1463372
parameter_id,IMPC_ABR_008_001
mouse_life_stage,Early adult
gene_symbol,Ssr2
analysis_id,a546pqlbd2y0ipf
mouse_strain,C57BL
gene_accession_id,MGI:1913506
