analysis_id,7hyq0x0sl35440v
mouse_life_stage,Early adult
parameter_id,M-G-P_008_001_013
gene_accession_id,MGI:1916043
pvalue,0.4251613
mouse_strain,C57BL
parameter_name,Startle Response
gene_symbol,Rab3gap2
